process   , n_run2, n_run3, sum_weights_run2, sum_weights_run3, neg_weight_frac_run2, neg_weight_frac_run3 , n_folds, mean_auc          , std_auc              , top_feature, top_feature_gain_frac, top_feature_nan_frac_run2, top_feature_nan_frac_run3
SingleH   ,  11124,  38425, 39628.625       , 246811.69       , 0.004764473211075153, 0.0031489915419648665,       3, 0.5823732237162176, 0.01614828879164075  , m_l1j      ,   0.06439093609644553,                       0.0,                       0.0
VVV       ,  14028,  40254, 442.44907       , 86992.664       , 0.002067293983461648, 0.010781537238535302 ,       3, 0.579746449698252 , 0.005484196910322499 , HT_tau     ,   0.17439019921423554,                       0.0,                       0.0
Zjets     , 141863, 157073, 1.3825271e+11   , 1.7395342e+11   , 0.15382446444809428 , 0.14823680708969714  ,       3, 0.5596573361959697, 0.0026370603600975712, HT_tau     ,   0.1466514206567    ,                       0.0,                       0.0
ttbar     ,   7335,  40832, 5.328624e+06    , 1.0090843e+07   , 0.00408997955010225 , 0.0029143808777429467,       3, 0.5461324926799976, 0.0013708419502113619, HT_tau     ,   0.09279269975479994,                       0.0,                       0.0
signal_ggF,  67075, 191580, 1820.4332       , 5209.738        , 0.06024599329109206 , 0.06203152729930055  ,       3, 0.5432756888600335, 0.0015746176517103454, HT_tau     ,   0.145814500482265  ,                       0.0,                       0.0
Diboson   , 312600, 628676, 1.6708135e+10   , 3.256988e+10    , 0.061589891234804864, 0.061055297164199045 ,       3, 0.5421393400454123, 0.0012966706214473634, HT_tau     ,   0.16154085156624937,                       0.0,                       0.0
Wjets     ,  31272,  39061, 3.6308897e+11   , 5.1630834e+11   , 0.1581286774111026  , 0.14825529300325133  ,       3, 0.5406733097355577, 0.007674694885243437 , met_sumet  ,   0.11876241902331615,                       0.0,                       0.0
tops      ,  62238, 161226, 2.3459405e+06   , 8.477411e+06    , 0.36336321861242327 , 0.358974358974359    ,       3, 0.5299488674205852, 0.004159538339690733 , met_sumet  ,   0.07121505781733957,                       0.0,                       0.0
Vgamma    ,  21510,  14295, 1.3506736e+10   , 9.171024e+09    , 0.07861459786145979 , 0.07869884575026233  ,       3, 0.5205564721919858, 0.02163221638151334  , met_sumet  ,   0.08420272627988208,                       0.0,                       0.0
signal_VBF,  21639,  13470, 27.661777       , 17.383804       , 0.001155321410416378, 0.0010393466963622866,       3, 0.5101425671544776, 0.002858979043256072 , tau1_eta   ,   0.06516217608235182,                       0.0,                       0.0
