process,n_run2,n_run3,sum_weights_run2,sum_weights_run3,neg_weight_frac_run2,neg_weight_frac_run3,n_folds,mean_auc,std_auc,top_feature,top_feature_gain_frac,top_feature_nan_frac_run2,top_feature_nan_frac_run3
Wjets,67,51,1.1893862e+09,1.7423277e+08,0.1044776119402985,0.1568627450980392,3,0.7544658277733941,0.037038858309087666,dR_l1t1,0.2654835927070918,0.0,0.0
VVV,3593,13941,56.098846,28662.676,0.0030615084887280824,0.010042321210817015,3,0.5994252457501528,0.011363544291141045,tau1_pt,0.14366418261968047,0.0,0.0
SingleH,2946,3240,3287.662,20399.01,0.004412763068567549,0.005246913580246914,3,0.5985899209146339,0.003323303157403773,l2_pt,0.10570300378227981,0.0,0.0
Zjets,7746,12919,2.3516846e+10,5.647201e+10,0.1578879421636974,0.15465593312175865,3,0.5754935621667442,0.01860966418181976,l1_pt,0.091031589868725,0.0,0.0
Vgamma,2019,2366,3.085373e+09,4.357021e+09,0.07776126795443289,0.08114961961115807,3,0.5501450754547945,0.012473245801563922,l1_pt,0.0933287169958482,0.0,0.0
tops,3832,11065,150095.1,633628.2,0.3113256784968685,0.28703117939448713,3,0.5475806168159268,0.03867984310013614,m_t1t2,0.0786096987192849,0.0,0.0
Diboson,36877,82336,1.2009793e+09,2.7569516e+09,0.08889009409659138,0.09094442285270113,3,0.5387921068690762,0.002759809286804369,tau1_pt,0.0869020969566785,0.0,0.0
signal_ggF,31959,96909,864.79,2629.5762,0.061391157420444945,0.061459719943452104,3,0.5289823844705762,0.0012855743262649322,met_sumet,0.08518026298225645,0.0,0.0
signal_VBF,5598,3439,7.138271,4.425562,0.001250446588067167,0.0017446932247746438,3,0.5024440889760075,0.004888095197029922,tau2_phi,0.06517013227212781,0.0,0.0
ttbar,331,3276,244279.25,312398.28,0.0030211480362537764,0.0030525030525030525,3,0.47482972278006813,0.03783472408603688,l1_pt,0.06267896916848614,0.0,0.0
