process,n_run2,n_run3,sum_weights_run2,sum_weights_run3,neg_weight_frac_run2,neg_weight_frac_run3,n_folds,mean_auc,std_auc,ci_lo,ci_hi,top_feature,top_feature_gain_frac,top_feature_nan_frac_run2,top_feature_nan_frac_run3
SingleH,2946,3240,3287.662,20399.01,0.004412763068567549,0.005246913580246914,3,0.6525896194510205,0.014342301676821967,0.6048033154691541,0.7017845455477896,m_l1l2,0.14155512848043722,0.0,0.0
VVV,3593,13941,56.098846,28662.676,0.0030615084887280824,0.010042321210817015,3,0.6151944508915946,0.016793818003899934,0.5919795957264598,0.6361860960302278,HT_tau,0.14669669574507335,0.0,0.0
Vgamma,2019,2366,3.085373e+09,4.357021e+09,0.07776126795443289,0.08114961961115807,3,0.5819038125569954,0.027893738529578764,0.5383458175822743,0.6204309057662979,l1_z0sintheta,0.0661373076234198,0.0,0.0
Diboson,36877,82336,1.2009793e+09,2.7569516e+09,0.08889009409659138,0.09094442285270113,3,0.546286028360279,0.0023952389664112605,0.5380824039615989,0.55369969514287,HT,0.08862339953365664,0.0,0.0
Zjets,7746,12919,2.3516846e+10,5.647201e+10,0.1578879421636974,0.15465593312175865,3,0.5303460656033158,0.019485185078066878,0.5072652278864692,0.5542593375245815,HT,0.09915519545645224,0.0,0.0
signal_ggF,31959,96909,864.79,2629.5762,0.061391157420444945,0.061459719943452104,3,0.5173625128333682,0.0010315834415102292,0.513632497984525,0.5212680539212676,HT_tau,0.06770457658787399,0.0,0.0
ttbar,331,3276,244279.25,312398.28,0.0030211480362537764,0.0030525030525030525,3,0.5047442111240154,0.011639120235684804,0.4674897162135606,0.5403000894858953,l1_z0sintheta,0.06920519032634248,0.0,0.0
signal_VBF,5598,3439,7.138271,4.425562,0.001250446588067167,0.0017446932247746438,3,0.48654587005522215,0.00471892505828868,0.47292620026561855,0.4988590372036813,l1_z0sintheta,0.07798832539344949,0.0,0.0
tops,3832,11065,150095.1,633628.2,0.3113256784968685,0.28703117939448713,3,0.47320528236530857,0.06222638647496732,0.4078329533407829,0.5536960769255916,m_t1t2,0.07403543292667289,0.0,0.0
Wjets,67,51,1.1893862e+09,1.7423277e+08,0.1044776119402985,0.1568627450980392,3,0.35027493775850976,0.09432105493284389,0.12708158430249908,0.5142961140355913,dR_l1t2,0.16299088424692315,0.0,0.0
