process,n_run2,n_run3,n_folds,mean_auc,std_auc,ci_lo,ci_hi
VVV,14028,40254,3,0.5760327019549668,0.009252511182706114,0.5687584144877887,0.5834517854992557
SingleH,11124,38425,3,0.5714077525974693,0.01736716768920088,0.555574494963727,0.5849518485964844
Zjets,141863,157073,3,0.5617651433545117,0.004247677676811145,0.5554533454643344,0.5676285938448155
ttbar,7335,40832,3,0.5502727198206641,0.006110282768527486,0.5417086997453221,0.5584733878165329
Wjets,31272,39061,3,0.5441209220152147,0.004115667889547256,0.5298185932871389,0.5580366920616133
signal_ggF,67075,191580,3,0.540264228165496,0.0012737934601780153,0.5375763392085945,0.5429376357754404
Diboson,312600,628676,3,0.5399045711150524,0.0009032706176366098,0.5375278197054515,0.5421740654091091
tops,62238,161226,3,0.5343541123902442,0.009351281600887999,0.5159306952955043,0.5545436894534844
Vgamma,21510,14295,3,0.5274093053918633,0.021109493873983993,0.5023980498556984,0.5527641838754513
signal_VBF,21639,13470,3,0.5078807715301614,0.0021726242215183945,0.5015551919463013,0.5145569399537984
