process,n_run2,n_run3,n_folds,mean_auc,std_auc,ci_lo,ci_hi
SingleH,2946,3240,3,0.6831804464252174,0.015252631830713863,0.6358853998819539,0.7292278835190071
VVV,3593,13941,3,0.610163442419081,0.016065500202275117,0.588208585380943,0.6309719374842558
Vgamma,2019,2366,3,0.5528236470922657,0.03773487403941697,0.5108601110290458,0.5908497997769777
Diboson,36877,82336,3,0.5446741755048529,0.0011211696242114007,0.5360642013078822,0.5521726734525341
Zjets,7746,12919,3,0.5379723813110221,0.016959797237397243,0.51461078754437,0.5624871749163745
signal_ggF,31959,96909,3,0.5178996339189146,0.0015762434580827663,0.5139543589209059,0.5216039525020273
ttbar,331,3276,3,0.4995731402715313,0.023860560722351615,0.4666241572985864,0.5393600718410462
signal_VBF,5598,3439,3,0.49164104969854766,0.0005169805827165035,0.4787855944995489,0.5046128646788389
tops,3832,11065,3,0.4795642219105809,0.03594869559117259,0.40250499554950464,0.560280826485135
Wjets,67,51,3,0.39763732041774186,0.07929168602408111,0.1768496940486732,0.6016453114627454
