config,channel,era,method,exp,exp_m2,exp_m1,exp_p1,exp_p2,obs,tot_error,tot_error_up,tot_error_dn,stat_error,stat_error_up,stat_error_dn,syst_error,syst_error_up,syst_error_dn,mcstat_error,mcstat_error_up,mcstat_error_dn,totsyst_error,totsyst_error_up,totsyst_error_dn,nf_error,nf_error_up,nf_error_dn,n_bins,S,B,SB_last_bin,Z_asimov
combine_1l2tau_XGB,1l2tau,stat-comb,XGB,15.51996898651123,7.6177263259887695,10.601339340209961,23.177576065063477,33.69139099121094,-1.0,6.64982,7.38051,-5.92882,6.22471,7.07963,-5.33,0.0,0.0,-0.0,2.33949,2.08583,-2.59655,2.33949,2.08583,-2.59655,0.0,0.0,-0.0,,,,,
combine_2l2tau_XGB,2l2tau,stat-comb,XGB,17.838640213012695,8.49897289276123,11.969856262207031,27.32037925720215,40.92990493774414,-1.0,7.2062,8.25431,-6.24402,6.96553,8.0977,-5.87476,0.0,0.0,-0.0,1.84683,1.60024,-2.11544,1.84683,1.60024,-2.11544,0.0,0.0,-0.0,,,,,
combine_2l2tau_MLP,2l2tau,stat-comb,MLP,18.94025993347168,9.01969051361084,12.703934669494629,29.041654586791992,43.59975051879883,-1.0,7.64205,8.75043,-6.63462,7.30919,8.53341,-6.12317,0.0,0.0,-0.0,2.23084,1.93675,-2.55439,2.23084,1.93675,-2.55439,0.0,0.0,-0.0,,,,,
combine_1l2tau_DNN,1l2tau,stat-comb,DNN,19.217060089111328,9.559304237365723,13.2318754196167,28.440587997436523,40.942588806152344,-1.0,8.43413,9.20716,-7.68206,7.51308,8.51975,-6.44281,0.0,0.0,-0.0,3.83253,3.49078,-4.1838,3.83253,3.49078,-4.1838,0.0,0.0,-0.0,,,,,
combine_1l2tau_PNN,1l2tau,stat-comb,PNN,19.72452735900879,9.768507957458496,13.5420560836792,29.336669921875,42.5380859375,-1.0,8.60001,9.41463,-7.8364,7.45755,8.56756,-6.27886,0.0,0.0,-0.0,4.28313,3.90282,-4.68883,4.28313,3.90282,-4.68883,0.0,0.0,-0.0,,,,,
hh1l2tau_run3_XGB,1l2tau,run3,XGB,20.758455276489258,9.848353385925293,13.903066635131836,31.79546546936035,47.49612808227539,-1.0,8.23234,9.53934,-6.9816,7.85641,9.30855,-6.37351,0.0,0.0,-0.0,2.45931,2.08567,-2.84976,2.45931,2.08567,-2.84976,0.0,0.0,-0.0,8.0,0.8562583638817367,678.1046583713265,0.06572809031978036,0.13092276563180655
combine_2l2tau_DNN,2l2tau,stat-comb,DNN,21.50201988220215,10.309017181396484,14.478267669677734,32.83761215209961,49.15390396118164,-1.0,8.77466,9.96473,-7.68375,8.1748,9.56554,-6.77701,0.0,0.0,-0.0,3.18861,2.79219,-3.62107,3.18861,2.79219,-3.62107,0.0,0.0,-0.0,,,,,
combine_2l2tau_PNN,2l2tau,stat-comb,PNN,21.53353500366211,10.419279098510742,14.586566925048828,32.546443939208984,47.95671463012695,-1.0,8.90416,10.0468,-7.82203,8.6229,9.85562,-7.41,0.0,0.0,-0.0,2.22028,1.95045,-2.50519,2.22028,1.95045,-2.50519,0.0,0.0,-0.0,,,,,
combine_1l2tau_MLP,1l2tau,stat-comb,MLP,22.848140716552734,11.45055103302002,15.797843933105469,33.667999267578125,48.288455963134766,-1.0,10.1737,10.9928,-9.40549,8.62238,9.7939,-7.37706,0.0,0.0,-0.0,5.39981,4.99209,-5.83458,5.39981,4.99209,-5.83458,0.0,0.0,-0.0,,,,,
combine_2l2tau_GNN,2l2tau,stat-comb,GNN,24.422164916992188,11.987582206726074,16.685745239257812,36.48746871948242,53.03403854370117,-1.0,10.3544,11.5088,-9.22934,10.0544,11.2955,-8.81007,0.0,0.0,-0.0,2.47431,2.20547,-2.75017,2.47431,2.20547,-2.75017,0.0,0.0,-0.0,,,,,
hh2l2tau_run3_XGB,2l2tau,run3,XGB,27.09971046447754,12.30606746673584,17.674442291259766,43.102699279785156,67.44754791259766,-1.0,9.82652,11.9267,-7.98618,9.4193,11.7077,-7.2273,0.0,0.0,-0.0,2.7995,2.2752,-3.39783,2.7995,2.2752,-3.39783,0.0,0.0,-0.0,4.0,0.289089798980994,84.89528935739143,0.06319884903674057,0.10832717069399367
combine_1l2tau_GNN,1l2tau,stat-comb,GNN,27.183122634887695,14.042502403259277,19.13559341430664,39.00743865966797,54.279571533203125,-1.0,12.8253,13.3993,-12.269,11.684,12.4073,-10.9542,0.0,0.0,-0.0,5.28891,5.0595,-5.52561,5.28891,5.0595,-5.52561,0.0,0.0,-0.0,,,,,
hh1l2tau_run2_DNN,1l2tau,run2,DNN,27.270954132080078,13.15791130065918,18.446510314941406,41.251461029052734,60.743019104003906,-1.0,11.1316,12.6538,-9.6541,10.3697,12.1571,-8.48723,0.0,0.0,-0.0,4.04747,3.51024,-4.60093,4.04747,3.51024,-4.60093,0.0,0.0,-0.0,8.0,0.6850836403860465,398.3247893494021,0.042482503571459086,0.09766165959451231
hh1l2tau_run2_XGB,1l2tau,run2,XGB,27.71037483215332,13.316203117370605,18.690961837768555,42.13788986206055,62.51750183105469,-1.0,11.2756,12.818,-9.85207,10.1585,12.0839,-8.13139,0.0,0.0,-0.0,4.89335,4.27556,-5.56272,4.89335,4.27556,-5.56272,0.0,0.0,-0.0,8.0,0.6865591676400794,427.8681285492981,0.03577129066235684,0.09956093666604221
hh1l2tau_run2_PNN,1l2tau,run2,PNN,27.93062973022461,13.547708511352539,18.9462890625,42.102237701416016,61.8431396484375,-1.0,11.548,13.0166,-10.1345,10.6298,12.3996,-8.76563,0.0,0.0,-0.0,4.51247,3.96013,-5.08637,4.51247,3.96013,-5.08637,0.0,0.0,-0.0,8.0,0.692280372548121,467.1129693914349,0.03762255302214173,0.09513418437867173
hh2l2tau_run2_XGB,2l2tau,run2,XGB,28.782485961914062,13.200984954833984,18.88840675354004,45.34254455566406,70.01215362548828,-1.0,10.5956,12.7464,-8.67542,10.3402,12.6049,-8.21725,0.0,0.0,-0.0,2.31262,1.8935,-2.78203,2.31262,1.8935,-2.78203,0.0,0.0,-0.0,6.0,0.23470913147033434,32.39005040476277,0.0569211741762132,0.0984350589742468
